Stimulus,Log (1/ODT),E,S,A,B,L,V,M,AL,AC,ES,C1,C1AC,C1AL,HS,C2,C2Al,C2AC,GrpNo,Train,Duplicates,CID,MolecularWeight,IsomericSMILES,IUPACName,name
7983,2.31876,0.044,0.56,0.0,0.45,4.275,1.3102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,7983,144.21,CCCCOC(=O)CCC,butyl butanoate,butyl butyrate
7991,4.4318,0.205,0.63,0.62,0.45,3.227,0.8875,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,7991,102.13,CCCCC(=O)O,pentanoic acid,valeric acid
7997,0.17693,0.092,0.6,0.0,0.45,2.8190000000000004,0.8874999999999998,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,2.0,0.3333333333333333,2,7997,102.13,CCCOC(=O)C,propyl acetate,propyl acetate
8003,-0.14613,0.0,0.0,0.0,0.0,2.162,0.8131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,8003,72.15,CCCCC,pentane,pentane
8004,1.0,0.093,0.08,0.0,0.07,2.047,0.7701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,8004,70.13,CCCC=C,pent-1-ene,1-pentene
8007,0.933275,0.224,0.35,0.16,0.61,2.618,0.772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2.0,1.0,1,8007,73.14,CCCCN,butan-1-amine,butylamine
8012,5.55284,0.382,0.43,0.0,0.21,3.0585,0.8357,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,8012,90.19,CCCCS,butane-1-thiol,1-butanethiol
8021,1.50888,0.154,0.3,0.08,0.69,2.395,0.772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2.0,0.0,1,8021,73.14,CCNCC,N-ethylethanamine,diethylamine
8025,-0.43136,0.146,0.66,0.0,0.38,1.845,0.6057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,8025,74.08,CCOC=O,ethyl formate,ethyl formate
8029,-0.99564,0.369,0.51,0.0,0.13,1.9125,0.5363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,8029,68.07,C1=COC=C1,furan,furan
