Stimulus,alkane,citrus,earth,fat,flower,fruit,green,herb,mint,must,spice,sulfur,sweet,wood,CID,MolecularWeight,IsomericSMILES,IUPACName,name
14257,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14257,156.31,CCCCCCCCCCC,undecane,undecane
14529,0,1,0,0,0,0,0,0,0,1,0,0,0,0,14529,150.22,CC1=CC=C(C=C1)C(C)(C)O,2-(4-methylphenyl)propan-2-ol,2-(4-methylphenyl)propan-2-ol
15380,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15380,108.23,CSCSC,bis(methylsulfanyl)methane,bis(methylthio)methane
15600,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15600,142.28,CCCCCCCCCC,decane,decane
16237,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16237,178.23,CCOC(=O)CCC1=CC=CC=C1,ethyl 3-phenylpropanoate,ethyl 3-phenylpropionate
16441,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16441,150.22,CC(=C)C1CCC(=CC1)C=O,4-prop-1-en-2-ylcyclohexene-1-carbaldehyde,perillaldehyde
16800,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16800,149.23,CCCCCC1=CC=CC=N1,2-pentylpyridine,2-pentylpyridine
16821,0,0,0,0,1,1,0,0,0,0,0,0,1,0,16821,198.3,CCCCCCCCC1CCC(=O)O1,5-octyloxolan-2-one,gamma-dodecalactone
16997,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16997,112.13,CCC1C=CC(=O)O1,2-ethyl-2H-furan-5-one,5-ethyl-2(5h)-furanone
17100,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17100,154.25,CC1=CCC(CC1)C(C)(C)O,2-(4-methylcyclohex-3-en-1-yl)propan-2-ol,alpha-terpineol
17868,0,0,0,0,0,0,1,1,0,0,0,0,0,1,17868,136.23,CC1=CCC2(C1C2)C(C)C,2-methyl-5-propan-2-ylbicyclo[3.1.0]hex-2-ene,alpha-thujene
18686,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18686,156.22,CCOC(=O)C1CCCCC1,ethyl cyclohexanecarboxylate,ethyl cyclohexanecarboxylate
18818,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18818,136.23,CC(C)C12CCC(=C)C1C2,4-methylidene-1-propan-2-ylbicyclo[3.1.0]hexane,sabinene
19310,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19310,126.3,CSSSC,(methyltrisulfanyl)methane,dimethyl trisulfide
20083,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20083,130.23,CCCCCCC(C)O,octan-2-ol,octan-2-ol
20748,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20748,142.2,COC(=O)C1CCCCC1,methyl cyclohexanecarboxylate,methyl cyclohexanecarboxylate
20861,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20861,134.17,CCC1=CC=C(C=C1)C=O,4-ethylbenzaldehyde,4-ethylbenzaldehyde
20928,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20928,100.16,CCCC(C=C)O,hex-1-en-3-ol,1-hexen-3-ol
20995,0,0,0,0,0,1,0,0,0,0,0,0,1,0,20995,154.27,CCCCCC1=CC=CS1,2-pentylthiophene,2-pentylthiophene
21828,0,0,0,0,0,0,0,0,0,0,0,1,0,0,21828,120.2,CC1SCCS1,"2-methyl-1,3-dithiolane","2-methyl-1,3-dithiolane"
22227,0,0,0,0,0,0,0,1,0,0,0,0,0,0,22227,152.23,C[C@@H]1CC[C@H](CC1=O)C(=C)C,"(2R,5R)-2-methyl-5-prop-1-en-2-ylcyclohexan-1-one",5524-05-0
22386,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22386,88.15,CCCC(C)O,pentan-2-ol,2-pentanol
